Total_Active_Power,Total_Reac_Power
2230.124171,588.0794469
2340.579554,613.6246092
2308.598811,624.57689
2362.627738,554.8056164
2884.510045,859.2426119
2783.368637,814.148623
2687.433116,734.5446922
2554.983232,735.1132077
2558.048176,695.5170477
2572.873921,618.8805066
2736.642536,819.6250287
2687.747954,771.8203706
2622.699697,699.0449982
2501.317057,671.7095343
2349.065892,637.8997322
2061.712964,503.6145516
1649.377071,360.8508343
1519.498679,297.3570326
1494.586476,351.6698196
1478.440999,324.7160085
1484.427948,285.6014175
1538.837713,343.5312417
1657.994485,439.0764155
1960.541671,481.7529565
2246.887711,607.9410811
2257.851028,565.2919758
2304.718705,635.6244883
2330.01992,701.7869261
2218.440059,565.1792307
2267.982968,615.6852798
2222.558792,579.4161612
2175.195984,564.0876981
2087.516087,586.6011175
2058.268703,473.6527061
2081.528535,503.3459457
1960.492051,437.1560993
1922.34968,416.7034248
1852.541724,430.153282
1749.011197,416.6385788
1610.064104,386.2253111
1377.565825,281.1109402
1270.25157,221.2895673
1233.642955,223.6977345
1187.303889,180.3750784
1238.321548,216.934014
1251.717561,193.5584887
1296.341438,212.5238676
1430.785735,281.4125989
1636.42189,384.5050206
1861.103467,425.5472311
1965.468339,437.9156744
2028.729572,477.0500512
1987.407611,464.0349987
1936.861084,435.3263044
1833.728751,413.2240081
1758.304133,401.7366645
1772.050552,357.4085515
1836.920329,415.2934647
2002.25877,490.0026776
1993.561154,510.7053113
1937.224489,501.2285941
1914.897874,479.0672577
1794.230521,382.3763772
1597.197072,362.7198381
1455.533669,311.2408156
1390.101023,293.3993024
1343.365286,252.0442158
1336.031052,256.81095
1357.768725,271.3256539
1350.931245,253.697921
1410.461403,284.0226577
1532.025802,354.1320353
1637.18638,379.3421784
1796.621335,370.8778649
1890.012018,411.8358082
1971.519406,460.7491998
1975.219205,472.4444269
2034.990721,455.7063244
1924.307651,458.4966703
1863.484968,422.3797793
1881.52304,410.4704949
1955.713556,490.0489421
2084.805971,509.940982
2042.070146,475.4183093
2011.994018,490.0175305
1898.59719,436.1891691
1684.36383,387.9741608
1456.044943,292.309723
1279.404009,222.4765537
1207.408293,193.9683251
1197.697003,231.1391849
1185.360975,217.0961558
1210.081363,244.455673
1253.947802,243.7563511
1431.781284,292.5886499
1728.117854,379.826512
2114.951227,558.0425991
2115.593628,570.104133
2100.800153,583.8435804
2152.532114,494.2534959
2187.877603,583.3870397
2135.347244,618.2802213
2172.663344,557.7408218
2035.926573,517.2060086
1943.062196,533.1728853
1963.690045,552.3593109
2038.945068,535.2886807
1950.623534,499.7255659
1875.240009,453.5134762
1799.252218,381.3851364
1672.666614,366.4580923
1438.078206,303.4416493
1248.927835,208.6987003
1185.056395,217.9724889
1111.691799,164.7945586
1103.427698,179.9348561
1128.007126,201.8727965
1176.637589,229.2552812
1273.969244,242.0446648
1601.391001,393.5865861
1844.696707,479.3069863
1910.717787,507.7442036
1947.51077,512.3665783
2034.761349,575.7805684
2097.676025,543.5483767
2085.043899,580.3761315
2053.9661,550.6553317
2013.120176,535.6993309
1952.267422,534.3464977
1901.485491,500.262053
2017.697869,499.4854975
1965.35327,503.4167611
1835.095954,473.7488833
1801.770505,433.5690241
1635.562784,367.459636
1427.665077,295.8372783
1268.207938,236.1837364
1238.106464,220.7741047
1201.789929,221.5585954
1191.251012,179.8696881
1214.794612,188.285679
1261.597193,243.325882
1374.938932,263.1963208
1749.64069,386.9564337
2084.285779,511.1478819
2167.365233,508.3716779
2132.826898,566.7162197
2229.383017,629.5763091
2234.686217,532.0389849
2205.993995,571.4770742
2131.040382,529.6730154
2073.835297,505.6475524
2135.495813,517.9267906
2110.459038,471.505803
2251.208113,598.5684023
2213.271266,573.937701
2090.828148,547.6135171
1984.871218,506.1060954
1823.311112,388.0460293
1551.883553,329.6369399
1355.025861,283.6503164
1334.979334,264.4889047
1299.951334,258.6528887
1280.765365,257.7659175
